FECHA_CORTE;ITEM;NOMBRE DEL DEPORTISTA;DISCIPLINA DEPORTIVA;N° DE RESOLUCION;ESTADO;FECHA DE REGISTRO;OBSERVACIONES
31/07/2025;1;DIEGO ESLIVAN CUELLAR OSHIRO;AJEDREZ;Resolución N°174-DINADAF-RND-2014;ACTIVO;1/09/2014;
31/07/2025;2;JONATHAN STEVEN SÁNCHEZ MILLONES;AJEDREZ;Resolución N°237-DINADAF-RND-2014;ACTIVO;18/09/2014;
31/07/2025;3;CRHISTY ANA GARCÍA CONTRERAS;AJEDREZ;Resolución N°379-DINADAF-RND-2014;ACTIVO;23/12/2014;
31/07/2025;4;AURORA EDITH FÉLIX VEGA;AJEDREZ;Resolución N°004-DINADAF-RND-2015;ACTIVO;13/01/2015;
31/07/2025;5;PAULA ELIZABETH PAREDES BUSTAMANTE;AJEDREZ;Resolución N°017-DINADAF-RND-2015;ACTIVO;3/02/2015;
31/07/2025;6;JESSICA HANCCO MERMA;ATLETISMO;Resolución N°189-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;7;LEYDE JOSSY GUERRA MUCHA;ATLETISMO;Resolución N°190-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;8;GABRIELA KIMBERLY GARCÍA LEÓN;ATLETISMO;Resolución N°191-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;9;JESSICA DIANA FU PAREDES;ATLETISMO;Resolución N°192-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;10;SHEYLA EULOGIO PAUCAR;ATLETISMO;Resolución N°193-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;11;EVELYN MARGOT ESCOBAR QUICHCA;ATLETISMO;Resolución N°194-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;12;EUDELIA CARMEN ROSA ENRIQUE PRADO;ATLETISMO;Resolución N°195-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;13;JIMENA JUDITH COPARA GORVEÑA;ATLETISMO;Resolución N°196-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;14;DIANA CAROLINA BAZALAR ALAVA;ATLETISMO;Resolución N°197-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;15;LUCY BASILIO PÉREZ;ATLETISMO;Resolución N°198-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;16;WILMA YANET ARIZAPANA YUCRA;ATLETISMO;Resolución N°199-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;17;ALEJANDRA MERCEDES AREVALO URRESTI;ATLETISMO;Resolución N°200-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;18;ZULEMA KATIA ARENAS HUACASI;ATLETISMO;Resolución N°201-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;19;ANA MARÍA FRIDA MARCELA VÁSQUEZ UNIVAZO;ATLETISMO;Resolución N°202-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;20;AYRA TATIANA VALDIVIA CORDOVA;ATLETISMO;Resolución N°203-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;21;GLADYS LUCY TEJEDA PUCUHUARANGA;ATLETISMO;Resolución N°204-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;22;SILVANA DANIELA SEGURA SÁNCHEZ;ATLETISMO;Resolución N°205-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;23;GABRIELA ANA SARAVIA LOPEZ;ATLETISMO;Resolución N°206-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;24;MARÍA VICTORIA DE FATIMA RAMOS MARRUFO;ATLETISMO;Resolución N°207-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;25;DEISY LISBETH PARRA CASTILLO;ATLETISMO;Resolución N°208-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;26;HETAIRA LOURDES PALACIOS ZAMBRANO;ATLETISMO;Resolución N°209-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;27;YONI NINAHUAMAN UMIYAURI;ATLETISMO;Resolución N°210-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;28;STEFFI ANTUANE MURILLO LLANOS;ATLETISMO;Resolución N°211-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;29;ALEXA MOREY POMA;ATLETISMO;Resolución N°212-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;30;SANTA INES MELCHOR HUIZA;ATLETISMO;Resolución N°213-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;31;PAOLA MAUTINO RUIZ;ATLETISMO;Resolución N°214-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;32;ZENDIO DAZA HUARCAYA;ATLETISMO;Resolución N°215-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;33;ARTURO CHÁVEZ KORFIATIS;ATLETISMO;Resolución N°216-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;34;MARIO ALFONSO BAZÁN ARGANDOÑA;ATLETISMO;Resolución N°217-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;35;PAOLO CÉSAR YURIVILCA CALDERÓN;ATLETISMO;Resolución N°218-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;36;CÉSAR AUGUSTO RODRÍGUEZ DIBURGA;ATLETISMO;Resolución N°219-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;37;RAÚL MANUEL PACHECO MENDOZA;ATLETISMO;Resolución N°220-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;38;YERSON YUHUAN ORELLANA PORRAS;ATLETISMO;Resolución N°221-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;39;ZENSEY ONAJA ADANIYA;ATLETISMO;Resolución N°222-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;40;JORGE ARMANDO MC FARLANE OLAZABAL;ATLETISMO;Resolución N°223-DINADAF-RND-2014;ACTIVO;8/09/2014;Resolucíon N°860-DINADAF-RND-2017
31/07/2025;41;WILLIAMS AYRTON MARCELO GARCÍA PRINCE;ATLETISMO;Resolución N°225-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;42;SUNILDA ELY LOZANO LAZO;ATLETISMO;Resolución N°188-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;43;JAVIER ARTURO MC FARLANE OLAZABAL;ATLETISMO;Resolución N°224-DINADAF-RND-2014;ACTIVO;8/09/2014;
31/07/2025;44;MAURICIO GARRIDO MAYER;ATLETISMO;Resolución N°210-DINADAF-RND-2015;ACTIVO;30/09/2015;Resolución N°545-DINADAF-RND-2018
31/07/2025;45;RODRIGO SILVA OLAVIDE;ATLETISMO;Resolución N°074-DINADAF-RND-2016;ACTIVO;17/03/2016;
31/07/2025;46;RODRIGO PFLUCKER MINAYA;AUTOMOVILISMO;Resolución Nº0290-DINADAF-RND-2018;ACTIVO;27/02/2018;
31/07/2025;47;RICARDO JUNIOR FLORES RAMIREZ;AUTOMOVILISMO;Resolución Nº1186-DINADAF-RND-2018;ACTIVO;31/07/2018;
31/07/2025;48;BRUNO MAURICIO NICOLAS BARRUETO DEZA;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;49;REMO SEBASTIAN BLONDET MARTINEZ;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;50;STEFANY YING CHIE CHEN CHEN;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;51;FERNANDA SAPONARA RIVVA;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;52;RODRIGO CAMOGLIANO TELGE;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;53;ANDREA PAMELA FLORES VASQUEZ DE VELASCO;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;54;ARIANA AIRI MORMISATO KINA;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;55;MARIANO ERNESTO VELARDE ALZAMORA;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;56;ADRIANO VIALE AGUIRRE;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;57;DIEGO MAURICIO SUBAUSTE TOKUMURA;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;58;INES LUCÍA CASTILLO SALAZAR;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;59;MICAELA FERNANDA CASTILLO SALAZAR;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;60;MARIO CUBA RODRIGUEZ;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;61;PEDRO PABLO DE VINATEA ESTRADA;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;62;MICAELA FLORES VASQUEZ DE VELASCO;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;63;JOSÉ EINER GUEVARA LLATAS;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;64;DANIEL ALONSO LA TORRE REGAL;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
31/07/2025;65;PAULA LUCÍA LA TORRE REGAL;BADMINTON;Resolución N°597-DINADAF-RND-2017;ACTIVO;21/04/2017;
